Function,Utterance
matplotlib.patches.Patch.set_capstyle,Set the patch capstyle
matplotlib.patches.Patch.set_color,Set both the edgecolor and the facecolor .
matplotlib.patches.Patch.set_ec,alias for set_edgecolor
matplotlib.patches.Patch.set_edgecolor,Set the patch edge color
matplotlib.patches.Patch.set_facecolor,Set the patch face color
matplotlib.patches.Patch.set_fc,alias for set_facecolor
matplotlib.patches.Patch.set_fill,Set whether to fill the patch
matplotlib.patches.Patch.set_hatch,Set the hatching pattern
matplotlib.patches.Patch.set_joinstyle,Set the patch joinstyle
matplotlib.patches.Patch.set_linestyle,Set the patch linestyle
matplotlib.patches.Patch.set_linewidth,Set the patch linewidth in points
matplotlib.patches.Patch.set_ls,alias for set_linestyle
matplotlib.patches.Patch.set_lw,alias for set_linewidth
matplotlib.patches.Patch.update_from,Updates this Patch from the properties of other .
matplotlib.patches.Polygon.get_closed,Returns if the polygon is closed
matplotlib.patches.Polygon.get_path,Get the path of the polygon
matplotlib.patches.Polygon.get_xy,Get the vertices of the path
matplotlib.patches.Polygon.set_closed,Set if the polygon is closed
matplotlib.patches.Polygon.set_xy,Set the vertices of the polygon
matplotlib.patches.Rectangle.get_height,Return the height of the rectangle
matplotlib.patches.Rectangle.get_path,Return the vertices of the rectangle
matplotlib.patches.Rectangle.get_width,Return the width of the rectangle
matplotlib.patches.Rectangle.get_x,Return the left coord of the rectangle
matplotlib.patches.Rectangle.get_xy,Return the left and bottom coords of the rectangle
matplotlib.patches.Rectangle.get_y,Return the bottom coord of the rectangle
matplotlib.patches.Rectangle.set_bounds,Set the bounds of the rectangle
matplotlib.patches.Rectangle.set_height,Set the width rectangle
matplotlib.patches.Rectangle.set_width,Set the width rectangle
matplotlib.patches.Rectangle.set_x,Set the left coord of the rectangle
matplotlib.patches.Rectangle.set_xy,Set the left and bottom coords of the rectangle
matplotlib.patches.Rectangle.set_y,Set the bottom coord of the rectangle
matplotlib.patches.YAArrow.getpoints,"For line segment defined by ( x1 , y1 ) and ( x2 , y2 ) return the points on the line that is perpendicular to the line and intersects ( x2 , y2 ) and the distance from ( x2 , y2 ) of the returned points is k ."
matplotlib.patches.bbox_artist,"This is a debug function to draw a rectangle around the bounding box returned by get_window_extent ( ) of an artist , to test whether the artist is returning the correct bbox ."
matplotlib.patches.draw_bbox,"This is a debug function to draw a rectangle around the bounding box returned by get_window_extent ( ) of an artist , to test whether the artist is returning the correct bbox ."
matplotlib.path.Path.cleaned,Cleans up the path according to the parameters returning a new Path instance .
matplotlib.path.Path.clip_to_bbox,Clip the path to the given bounding box .
matplotlib.path.Path.contains_path,Returns True if this path completely contains the given path .
matplotlib.path.Path.contains_point,Returns True if the path contains the given point .
matplotlib.path.Path.contains_points,Returns a bool array which is True if the path contains the corresponding point .
matplotlib.path.Path.copy,"Returns a shallow copy of the Path , which will share the vertices and codes with the source Path ."
matplotlib.path.Path.deepcopy,Returns a deepcopy of the Path .
matplotlib.path.Path.get_extents,"Returns the extents ( xmin , ymin , xmax , ymax ) of the path ."
matplotlib.path.Path.interpolated,Returns a new path resampled to length N x steps .
matplotlib.path.Path.intersects_bbox,Returns True if this path intersects a given Bbox .
matplotlib.path.Path.intersects_path,Returns True if this path intersects another given path .
matplotlib.path.Path.iter_segments,Iterates over all of the curve segments in the path .
matplotlib.path.Path.to_polygons,Convert this path to a list of polygons .
matplotlib.path.Path.transformed,Return a transformed copy of the path .
matplotlib.path.get_path_collection_extents,"Given a sequence of Path objects , Transform objects and offsets , as found in a PathCollection , returns the bounding box that encapsulates all of them ."
matplotlib.path.get_paths_extents,"Given a sequence of Path objects and optional Transform objects , returns the bounding box that encapsulates all of them ."
matplotlib.patheffects.AbstractPathEffect.draw_path,Derived should override this method .
matplotlib.patheffects.SimpleLineShadow.draw_path,Overrides the standard draw_path to add the shadow offset and necessary color changes for the shadow .
matplotlib.patheffects.SimplePatchShadow.draw_path,Overrides the standard draw_path to add the shadow offset and necessary color changes for the shadow .
matplotlib.patheffects.Stroke.draw_path,draw the path with updated gc .
matplotlib.pyplot.acorr,Plot the autocorrelation of x.
matplotlib.pyplot.angle_spectrum,Plot the angle spectrum .
matplotlib.pyplot.annotate,Create an annotation
matplotlib.pyplot.arrow,Add an arrow to the axes .
matplotlib.pyplot.autoscale,Autoscale the axis view to the data ( toggle ) .
matplotlib.pyplot.autumn,set the default colormap to autumn and apply to current image if any .
matplotlib.pyplot.axes,Add an axes to the figure .
matplotlib.pyplot.axhline,Add a horizontal line across the axis .
matplotlib.pyplot.axhspan,Add a horizontal span ( rectangle ) across the axis .
matplotlib.pyplot.axis,Convenience method to get or set axis properties .
matplotlib.pyplot.axvline,Add a vertical line across the axes .
matplotlib.pyplot.axvspan,Add a vertical span ( rectangle ) across the axes .
matplotlib.pyplot.bar,Make a bar plot .
matplotlib.pyplot.barbs,Plot a 2-D field of barbs .
matplotlib.pyplot.barh,Make a horizontal bar plot .
matplotlib.pyplot.bone,set the default colormap to bone and apply to current image if any .
matplotlib.pyplot.box,Turn the axes box on or off .
matplotlib.pyplot.boxplot,Make a box and whisker plot .
matplotlib.pyplot.broken_barh,Plot horizontal bars .
matplotlib.pyplot.cla,Clear the current axes .
matplotlib.pyplot.clabel,Label a contour plot .
matplotlib.pyplot.clf,Clear the current figure .
matplotlib.pyplot.clim,Set the color limits of the current image .
matplotlib.pyplot.close,Close a figure window .
matplotlib.pyplot.cohere,Plot the coherence between x and y .
matplotlib.pyplot.colorbar,Add a colorbar to a plot .
matplotlib.pyplot.colormaps,"Matplotlib provides a number of colormaps , and others can be added using register_cmap ( ) ."
matplotlib.pyplot.colors,This is a do-nothing function to provide you with help on how matplotlib handles colors .
matplotlib.pyplot.connect,Connect event with string s to func .
matplotlib.pyplot.contour,Plot contours .
matplotlib.pyplot.contourf,Plot contours .
matplotlib.pyplot.cool,set the default colormap to cool and apply to current image if any .
matplotlib.pyplot.copper,set the default colormap to copper and apply to current image if any .
matplotlib.pyplot.csd,Plot the cross-spectral density .
matplotlib.pyplot.delaxes,Remove an axes from the current figure .
matplotlib.pyplot.disconnect,Disconnect callback id cid
matplotlib.pyplot.draw,Redraw the current figure .
matplotlib.pyplot.errorbar,Plot an errorbar graph .
matplotlib.pyplot.eventplot,Plot identical parallel lines at specific positions .
matplotlib.pyplot.figimage,Adds a non-resampled image to the figure .
matplotlib.pyplot.figlegend,Place a legend in the figure .
matplotlib.pyplot.figtext,Add text to figure .
matplotlib.pyplot.figure,Creates a new figure .
matplotlib.pyplot.fill,Plot filled polygons .
matplotlib.pyplot.fill_between,Make filled polygons between two curves .
matplotlib.pyplot.fill_betweenx,Make filled polygons between two horizontal curves .
matplotlib.pyplot.findobj,Find artist objects .
matplotlib.pyplot.flag,set the default colormap to flag and apply to current image if any .
matplotlib.pyplot.gca,"Get the current Axes instance on the current figure matching the given keyword args , or create one ."
matplotlib.pyplot.gcf,Get a reference to the current figure .
matplotlib.pyplot.gci,Get the current colorable artist .
matplotlib.pyplot.get_figlabels,Return a list of existing figure labels .
matplotlib.pyplot.get_fignums,Return a list of existing figure numbers .
matplotlib.pyplot.get_plot_commands,Get a sorted list of all of the plotting commands .
matplotlib.pyplot.ginput,Blocking call to interact with the figure .
matplotlib.pyplot.gray,set the default colormap to gray and apply to current image if any .
matplotlib.pyplot.grid,Turn the axes grids on or off .
matplotlib.pyplot.hexbin,Make a hexagonal binning plot .
matplotlib.pyplot.hist,Plot a histogram .
matplotlib.pyplot.hist2d,Make a 2D histogram plot .
matplotlib.pyplot.hlines,Plot horizontal lines at each y from xmin to xmax .
matplotlib.pyplot.hold,Set the hold state .
matplotlib.pyplot.hot,set the default colormap to hot and apply to current image if any .
matplotlib.pyplot.hsv,set the default colormap to hsv and apply to current image if any .
matplotlib.pyplot.imread,Read an image from a file into an array .
matplotlib.pyplot.imsave,Save an array as in image file .
matplotlib.pyplot.imshow,Display an image on the axes .
matplotlib.pyplot.inferno,set the default colormap to inferno and apply to current image if any .
matplotlib.pyplot.install_repl_displayhook,Install a repl display hook so that any stale figure are automatically redrawn when control is returned to the repl .
matplotlib.pyplot.ioff,Turn interactive mode off .
matplotlib.pyplot.ion,Turn interactive mode on .
matplotlib.pyplot.ishold,Return the hold status of the current axes .
matplotlib.pyplot.isinteractive,Return status of interactive mode .
matplotlib.pyplot.jet,set the default colormap to jet and apply to current image if any .
matplotlib.pyplot.legend,Places a legend on the axes .
matplotlib.pyplot.locator_params,Control behavior of tick locators .
matplotlib.pyplot.loglog,Make a plot with log scaling on both the x and y axis .
matplotlib.pyplot.magma,set the default colormap to magma and apply to current image if any .
matplotlib.pyplot.magnitude_spectrum,Plot the magnitude spectrum .
matplotlib.pyplot.margins,Set or retrieve autoscaling margins .
matplotlib.pyplot.matshow,Display an array as a matrix in a new figure window .
matplotlib.pyplot.minorticks_off,Remove minor ticks from the current plot .
matplotlib.pyplot.minorticks_on,Display minor ticks on the current plot .
matplotlib.pyplot.over,Call a function with hold(True ) .
matplotlib.pyplot.pause,Pause for interval seconds .
matplotlib.pyplot.pcolor,Create a pseudocolor plot of a 2-D array .
matplotlib.pyplot.pcolormesh,Plot a quadrilateral mesh .
matplotlib.pyplot.phase_spectrum,Plot the phase spectrum .
matplotlib.pyplot.pie,Plot a pie chart .
matplotlib.pyplot.pink,set the default colormap to pink and apply to current image if any .
matplotlib.pyplot.plasma,set the default colormap to plasma and apply to current image if any .
matplotlib.pyplot.plot,Plot lines and/or markers to the Axes .
matplotlib.pyplot.plot_date,Plot with data with dates .
matplotlib.pyplot.plotfile,Plot the data in in a file .
matplotlib.pyplot.plotting,Function
matplotlib.pyplot.polar,Make a polar plot .
matplotlib.pyplot.prism,set the default colormap to prism and apply to current image if any .
matplotlib.pyplot.psd,Plot the power spectral density .
matplotlib.pyplot.quiver,Plot a 2-D field of arrows .
matplotlib.pyplot.quiverkey,Add a key to a quiver plot .
matplotlib.pyplot.rc,Set the current rc params .
matplotlib.pyplot.rc_context,Return a context manager for managing rc settings .
matplotlib.pyplot.rcdefaults,Restore the default rc params .
matplotlib.pyplot.rgrids,Get or set the radial gridlines on a polar plot .
matplotlib.pyplot.savefig,Save the current figure .
matplotlib.pyplot.sca,Set the current Axes instance to ax .
matplotlib.pyplot.scatter,"Make a scatter plot of x vs y , where x and y are sequence like objects of the same lengths ."
matplotlib.pyplot.sci,Set the current image .
matplotlib.pyplot.semilogx,Make a plot with log scaling on the x axis .
matplotlib.pyplot.semilogy,Make a plot with log scaling on the y axis .
matplotlib.pyplot.set_cmap,Set the default colormap .
matplotlib.pyplot.setp,Set a property on an artist object .
matplotlib.pyplot.show,Display a figure .
matplotlib.pyplot.specgram,Plot a spectrogram .
matplotlib.pyplot.spectral,set the default colormap to spectral and apply to current image if any .
